id,length,record_datetime,name,sample_rate,sound_type,species,gender,fed,plurality,age,method,mic_type,device_type,country,district,province,place,location_type
199980,1121.88,08-09-16 08:00,background.wav,8000,background,,,,,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
53,0.463456,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
57,0.170249,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
61,0.104041,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
69,0.27429,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
56,0.420894,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
81,0.302665,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
70,0.226999,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
86,0.264832,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Plural,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
62,0.104041,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
71,0.690455,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
72,0.506019,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
54,0.104041,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
63,0.080395,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
73,0.444539,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
74,0.127687,08-09-16 08:00,CDC_Ae-aegypti_labelled_800.wav,8000,mosquito,ae aegypti,,,Single,,,phone,Alcatel 4009X,USA,Georgia,Atlanta,"CDC insect cultures, Atlanta",culture
